,指标,角色,问题,问题类型,跳转页面名称,跳转页面路径,主题,意图识别场景,意图识别场景流程,意图识别场景参数
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天，营收情况,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天，销售了多少？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天，销售业绩怎样？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天，销售总额是多少？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售总额有多少？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的业绩如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的收入情况怎样？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售收入是多少？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营业收入是多少？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营业额是多少？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售收入情况如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售情况怎样？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营业额是多少？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营收情况如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售总额情况如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营业收入情况怎样？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售情况如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售收入情况怎样？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的业绩情况如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售额情况如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营收情况怎样？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营业额情况如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售总额情况怎样？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售收入情况如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额情况如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营业收入情况怎样？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营业额情况如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营收情况如何？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
0,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售总额是多少？,指标类,总部经营罗盘,/package-m/pages/store/index,销售,TO_SQL,Agent,agent-b49fe2e8b0464d668a0f9
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日销售额低于去年同期，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨天的业绩低于去年同日？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日销售比去年今日下降，原因何在？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年同日相比，昨天销售额减少，是何原因？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额，为什么没有达到去年同期的水平？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年同期相比，昨日销售有所下降，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售收入未达去年今日，原因何在？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的营收未能超越去年同期？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年今日相比，昨日销售额下降，原因有哪些？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日销售额同比降低，是什么导致的？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨天的营业额没有去年同期高？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额，同比去年下降，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年同期相比，昨日销售减少，原因包括哪些？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营收，为什么没有去年同日好？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日销售金额同比降低，是何原因？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的业绩没有去年今日高？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年同日的销售金额，昨日未能达到，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营业收入，同比去年有所下降，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的销售额没有去年同日的高？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年同期的销售业绩，昨日未能超越，原因何在？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额，同比去年有所减少，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的营收比去年同日要低？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年今日的销售总额，昨日未能达到，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营业额，同比去年有所下降，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的销售收入比去年同期要少？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年同期相比，昨日销售总额有所减少，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营业收入，同比去年有所不足，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的销售额同比去年有所下降？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么去年同日的销售业绩，昨日未能达到？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售总额，同比去年有所不足，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的营收未能达到去年同期？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年同期的销售收入，昨日未能超越，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营业额，同比去年有所减少，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的销售额没有去年同期多？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年同期相比，昨日销售总额下降，原因何在？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的营业收入比去年同日要少？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年今日的销售业绩，昨日未能达到，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售额，同比去年有所降低，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的营收比去年同期低？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年同期的销售总额，昨日未能达到，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营业额，同比去年有所下滑，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的销售额比去年同日低？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年同期的销售收入，昨日未能超越，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营业收入，同比去年有所减少，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的销售额同比去年有所不足？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么去年同日的销售总额，昨日未能达到？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营收，同比去年有所下降，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的营业额同比去年有所减少？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",去年同期相比，昨日销售额有所下滑，为什么？,归因类,,,销售,归因分析,归因分析组件,
1,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨日的销售收入同比去年有所不足？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么4月份的销售收入环比下降了？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",4月份销售收入环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份的营业额为什么比上个月低？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份营业额比上个月下滑的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月的销售总额环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月的销售总额比三月份低？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份的业绩为什么环比下降了？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份业绩环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月的销售比上个月下滑？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月销售比上个月下滑的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份的销售环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月份的销售比三月份低？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月的营业收入环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月的营业收入比上个月低？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份的销售金额为什么环比下降了？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份销售金额环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月的营业收入比上个月下滑？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月营业收入比上个月下滑的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份的销售环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月份的销售比三月份低？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月的销售环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月的销售比上个月下滑？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份的营业收入为什么比上个月低？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份营业收入比上个月下滑的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月的销售总额环比下降了？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月销售总额环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份的业绩为什么比三月份下滑？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份业绩比三月份下滑的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月的销售收入为什么环比下降了？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月销售收入环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份的营业额为什么环比下降了？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份营业额环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月的销售收入比上个月低？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月销售收入比上个月低的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份的销售总额为什么比上个月下滑？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份销售总额比上个月下滑的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月的销售环比下降了？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月销售环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份的销售为什么比三月份低？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份销售比三月份低的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月的营业收入为什么环比下降了？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月营业收入环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月份的销售金额比上个月低？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份销售金额比上个月低的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月的销售为什么比上个月下滑？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月销售比上个月下滑的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份的业绩为什么环比下降了？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月份业绩环比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么四月的销售比三月份下降？,归因类,,,销售,归因分析,归因分析组件,
2,销售额,"老板【总部】,采购【总部】,营销【总部】",四月销售比三月份下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨天的销售额比前一天下降了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售额为什么比前一天低？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营收为什么比前一天下滑？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售金额为什么比前一天少？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的业绩为什么比前一天降低了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营业收入为什么比前一天减少？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨天卖了的金额比前一天少？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售收入为什么比前一天少了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营业额为什么比前一天下滑？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的收入为什么比前一天低？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售为什么比前一天减少了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的收入同比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨天的销售收入同比下滑？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营收同比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",为什么昨天卖了的金额比前一天的下滑了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售总额为什么比前一天的少了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营业额同比下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营业收入同比下滑的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的业绩为什么比前一天的下滑了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售金额为什么比前一天的少了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",为何昨天的销售比前一天下降了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售金额比前一天减少的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的业绩为何比前一天少了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营业额为何比前一天下滑？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的收入比前一天减少的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",为何昨日的销售总额比前一天少了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营收比前一天减少的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售收入为何比前一天下降？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营业收入为何比前一天少了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的业绩比前一天下降的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",为何昨天的销售额比前一天有所减少？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售为何没有前一天的高？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的业绩为何没有前一天的好？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的营业额为何没有前一天的多？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",为何昨日的销售收入没有前一天的高？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的营业收入比前一天减少的原因是什么？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的收入为何比前一天少了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售为何比前一天下滑？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨日的销售总额为何比前一天减少？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售金额为何比前一天下降了？,归因类,,,销售,归因分析,归因分析组件,
3,销售额,"老板【总部】,采购【总部】,营销【总部】",昨天的销售额为什么会比前一天少？,归因类,,,销售,归因分析,归因分析组件,
